Alfred_Kinsey	place_of_death	Bloomington,_Indiana
Alfred_Kinsey	place_of_birth	New_Jersey
Alfred_Kinsey	institution	Bowdoin_College
Alfred_Kinsey	institution	Harvard_University
Alfred_Kinsey	place_of_death	Indiana
Alfred_Kinsey	place_of_birth	Hoboken,_New_Jersey
Alfred_Marshall	gender	male
Alfred_Marshall	nationality	British
Alfred_Marshall	place_of_death	Cambridge
Alfred_Marshall	place_of_birth	London
Alfred_Marshall	institution	St_John's_College,_Cambridge
Alfred_Marshall	place_of_birth	Clapham
Barbara_McClintock	gender	female
Barbara_McClintock	nationality	American
Barbara_McClintock	place_of_death	Huntington,_New_York
Barbara_McClintock	place_of_birth	Connecticut
Barbara_McClintock	institution	Cornell_University
Barbara_McClintock	place_of_death	New_York_(state)
Barbara_McClintock	place_of_birth	Hartford,_Connecticut
Christiaan_Huygens	gender	male
Christiaan_Huygens	nationality	Dutch
Christiaan_Huygens	place_of_death	The_Hague
Christiaan_Huygens	place_of_birth	The_Hague
Christiaan_Huygens	institution	Leiden_University
Christiaan_Huygens	institution	University_of_Angers
Christiaan_Huygens	place_of_death	Dutch_Republic
Christiaan_Huygens	place_of_birth	Dutch_Republic
Francis_Galton	gender	male
Francis_Galton	nationality	British
Francis_Galton	place_of_death	Haslemere
Francis_Galton	place_of_birth	Birmingham
Francis_Galton	institution	Trinity_College,_Cambridge
Francis_Galton	institution	King's_College_London
Francis_Galton	place_of_death	Surrey
Francis_Galton	place_of_birth	West_Midlands_(region)
Heike_Kamerlingh_Onnes	gender	male
Heike_Kamerlingh_Onnes	nationality	Netherlands
Heike_Kamerlingh_Onnes	place_of_death	Leiden
Heike_Kamerlingh_Onnes	place_of_birth	Groningen
Heike_Kamerlingh_Onnes	institution	University_of_Groningen
Heike_Kamerlingh_Onnes	institution	Heidelberg_University
Heike_Kamerlingh_Onnes	place_of_birth	Groningen_(city)
Howard_Florey	gender	male
Howard_Florey	nationality	Australian
Howard_Florey	place_of_death	Oxford
Howard_Florey	place_of_birth	Adelaide
Howard_Florey	institution	University_of_Adelaide
Howard_Florey	institution	Magdalen_College,_Oxford
Howard_Florey	place_of_birth	South_Australia
Aldo_Rossi	gender	male
Aldo_Rossi	nationality	Italian
Aldo_Rossi	place_of_death	Italy
Aldo_Rossi	place_of_birth	Italy
Aldo_Rossi	place_of_death	Milan
Aldo_Rossi	place_of_birth	Milan
Alexander_Dallas_Bache	gender	male
Alexander_Dallas_Bache	nationality	American
Alexander_Dallas_Bache	place_of_death	Newport,_Rhode_Island
Alexander_Dallas_Bache	place_of_birth	Philadelphia
Alexander_Dallas_Bache	place_of_birth	Philadelphia,_Pennsylvania
Ben_Jonson	gender	male
Ben_Jonson	nationality	English
Ben_Jonson	place_of_death	London
Ben_Jonson	place_of_birth	Westminster
Ben_Jonson	place_of_birth	City_of_Westminster
Cass_Gilbert	gender	male
Cass_Gilbert	nationality	American
Cass_Gilbert	place_of_death	Brockenhurst
Cass_Gilbert	place_of_birth	Zanesville,_Ohio
Charles_Beaumont	gender	male
Charles_Beaumont	nationality	American
Charles_Beaumont	place_of_death	Woodland_Hills,_Los_Angeles
Charles_Beaumont	place_of_birth	Chicago
Charles_Beaumont	place_of_death	Woodland_Hills,_California
Charles_Beaumont	place_of_birth	Chicago,_Illinois
Charles_Macintosh	gender	male
Charles_Macintosh	nationality	Scottish
Charles_Macintosh	place_of_death	Dunchattan
Charles_Macintosh	place_of_birth	Glasgow
Charles_Rolls	gender	male
Charles_Rolls	nationality	English born Welshman
Charles_Rolls	place_of_death	Southbourne,_Dorset
Charles_Rolls	place_of_birth	Berkeley_Square
Charles_Rolls	place_of_death	Bournemouth
Charles_Rolls	place_of_birth	Berkeley_Square_(film)
Daniel_Burnham	gender	male
Daniel_Burnham	nationality	American
Daniel_Burnham	place_of_death	German_Empire
Daniel_Burnham	place_of_birth	United_States
Daniel_Burnham	place_of_death	Heidelberg
Daniel_Burnham	place_of_birth	Henderson,_New_York
Dave_Berg_(cartoonist)	gender	male
Dave_Berg_(cartoonist)	nationality	American
Dave_Berg_(cartoonist)	place_of_death	Marina_del_Rey,_California
Dave_Berg_(cartoonist)	place_of_birth	Brooklyn
Dave_Berg_(cartoonist)	place_of_death	Marina_Del_Rey,_California
Dave_Berg_(cartoonist)	place_of_birth	New_York_City
Dayananda_Saraswati	gender	male
Dayananda_Saraswati	nationality	Indian_people
